Nodes	expA	expR	expN	expD	expC	expQ	expE	expG	expH	expI	expL	expK	expM	expF	expP	expS	expT	expW	expY	expV	ebA	ebR	ebN	ebD	ebC	ebQ	ebE	ebG	ebH	ebI	ebL	ebK	ebM	ebF	ebP	ebS	ebT	ebW	ebY	ebV
10	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.163265	0.142857	0.171429	0.155102	0.134694	0.146939	0.146939	0.204082	0.130612	0.183673	0.216327	0.155102	0.126531	0.146939	0.146939	0.171429	0.146939	0.122449	0.130612	0.15102
11	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.159184	0.155102	0.163265	0.167347	0.138776	0.130612	0.163265	0.2	0.138776	0.204082	0.204082	0.142857	0.122449	0.142857	0.15102	0.163265	0.15102	0.122449	0.130612	0.142857
12	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.138776	0.130612	0.163265	0.171429	0.130612	0.118367	0.130612	0.191837	0.118367	0.171429	0.2	0.142857	0.106122	0.138776	0.130612	0.163265	0.138776	0.110204	0.118367	0.146939
13	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.159184	0.134694	0.171429	0.171429	0.134694	0.114286	0.138776	0.191837	0.118367	0.17551	0.2	0.155102	0.114286	0.146939	0.134694	0.15102	0.142857	0.114286	0.122449	0.146939
14	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.142857	0.134694	0.159184	0.17551	0.126531	0.106122	0.142857	0.191837	0.114286	0.163265	0.2	0.146939	0.106122	0.142857	0.130612	0.159184	0.134694	0.110204	0.118367	0.155102
15	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.142857	0.130612	0.159184	0.17551	0.126531	0.106122	0.142857	0.195918	0.114286	0.159184	0.2	0.15102	0.106122	0.142857	0.130612	0.155102	0.138776	0.110204	0.118367	0.155102
16	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.138776	0.130612	0.159184	0.179592	0.126531	0.110204	0.138776	0.191837	0.114286	0.159184	0.195918	0.15102	0.110204	0.142857	0.130612	0.163265	0.134694	0.110204	0.118367	0.155102
17	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.142857	0.134694	0.155102	0.179592	0.126531	0.106122	0.138776	0.2	0.114286	0.159184	0.2	0.146939	0.106122	0.146939	0.130612	0.159184	0.138776	0.110204	0.114286	0.15102
18	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0540163	0.0365658	0.0658995	0.0837216	0.0312207	0.0113616	0.0477266	0.106203	0.0209273	0.0663576	0.109311	0.0574534	0.0112384	0.0476834	0.0380886	0.0693428	0.0469979	0.0128917	0.0227124	0.0602802
19	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0540298	0.036536	0.0646635	0.0815187	0.0312303	0.0113438	0.0515804	0.105791	0.020932	0.0663737	0.109357	0.0574799	0.0111882	0.0476641	0.0380917	0.0692143	0.0430858	0.0128892	0.0227207	0.06431
